index,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,Embeddings
56,2021-02-10 00:00:00.000000,Mortgage,Conventional home mortgage,Trouble during payment process,None,"On three occasions I have made pre-payments marked as 'principle only, but on each occasion they have taken interest out to their benefit. In each case I need to spend 30 minutes on the phone to have the error corrected, and they claim there is nothing they can do about it. When I asked to speak with a supervisor, I was denied.",None,FIFTH THIRD FINANCIAL CORPORATION,NC,XXXXX,None,1,Web,2021-02-10 00:00:00.000000,Closed with explanation,1,1,4129244,-1.7694852
62,2023-04-16 00:00:00.000000,Mortgage,Conventional home mortgage,Trouble during payment process,None,I was in contact with XXXX XXXX from Flagstar and he indicated I could scratch the old escrow balance and out the new amount and sign the letter and submit. I signed the letter and submitted to bank. They processed escrow payment on XX/XX/2023. This brought my escrow account to {$0.00}. I sent the letter certified mail. No one contacted me to say hey we need a new letter signed for escrow they just proceeded to pay my taxes on XX/XX/2023 creating a new balance on my escrow account. This is clearly unacceptable. I need someone from management to look into this.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,NEW YORK COMMUNITY BANCORP INC,IL,60016,None,1,Web,2023-04-16 00:00:00.000000,Closed with explanation,1,1,6847288,-1.6135703
63,2021-03-08 00:00:00.000000,Mortgage,FHA mortgage,Trouble during payment process,None,"On XX/XX/XXXX I went to check on my property at XXXX XXXX XXXX for no particular reason other than I had not received any calls inquiring about renting the property. 
I have been paying the mortgage, keeping up the property and had been trying to decide whether or not to move back in at the time. ( no payments were over 30 days past due ) Upon arrival I noticed a Large party barge in my drive way, obstructing me from even getting near the home. once I did get up to the house, I immediately noticed that my front door was completely wide open to the outside. 
There was a lockbox attached to a new doorknob and both were locked however the door lock had not been engaged and although the mechanism was locked the door was open. 
Upon entering I saw that my original hardwood floors had obviously been affected as they had gaps, were filthy and did not look as they did the last time I had been in the house. 
When I had last been in the home, I had a cleaning CREW go from top to bottom to ready the home for rental and then I personally closed and locked the house. 
What I saw before me was terrible. All of the kitchen cabinets stood open and looked askew / wobbly and covered in dust residue. 
The same for the wood blinds in the front living room where the door was open. everything was now covered in mold. 
Additionally the BACK door was open AS WELL and the carpet was moldy and covered in leaves, spider webs, insects. 
The entire front part of my home is top to bottom covered in filth residue and insect matter. There is obvious weather and water damage. 
I Do not know the exact date of the last day I went into the home prior to when XXXX  knocked my doors down, damaging both door frames irreparably and then left my house UNSECURED. 
It must have been XXXX of XXXX. 
How could this be that I have a vacant house and I am not just going over there every week to check on it? Well as I have mentioned to you I am a single mother. 
I have a full time job and am raising my 2 sons alone. My oldest son has XXXX XXXX XXXX  XXXX and much of my time is spent devoted to him. 
Never in my wildest imagination would I have dreamt that anyone could have legally done what your company did to me and not only get away with it but CHARGE ME FOR IT. 

The literal moment that I discovered this damage to my property at XXXX XXXX and subsequently found the XXXX XXXX  / PENNYMAC Mortgage sign in sheet on the countertop, I contacted both companies. 
I was met with an answering services and the run around with no one being able to explain why my home had been broken into. 
I did report the issue the day I discovered it both to you and to Penny Mac. 
Next I was told that I had to get independent contractors to the home to bid on the repairs. 
This also is no easy task as I have to WORK ALL DAY. But I did manage to get this done. I asked several times for your company to send their own people over to bid it but was met with many excuses. 

It amazes me that you and I have the name of your employee who signed in and we both know that had it not been for XXXX no damage would have occurred to my home. 
Not only are BOTH door frames damaged with the exact same sort of damage but also this person was so reckless and careless that he did not take the time needed to ensure that my HOUSE was locked and the probable first wind that came blew both doors open! 
Both Pennymac Mortgage and XXXX properties have decided that they will not repair the destruction to my property- the ONLY thing I own of any value. 
Additionally pennymac has applied thousands of dollars of my mortgage payments to XXXX  payments and deemed me "" late '' when in reality I was paying on time which has wrecked my credit. 
THIS SHOULD BE CRIMINAL",None,"PENNYMAC LOAN SERVICES, LLC.",LA,71118,None,1,Web,2021-03-08 00:00:00.000000,Closed with explanation,1,1,4192867,-1.7266814
65,2019-08-26 00:00:00.000000,Mortgage,Conventional home mortgage,Trouble during payment process,None,On XXXX I received a certified letter from XXXX XXXX XXXX XXXX saying that my loan had been purchased back in XXXX of this year unknowing to me by Fay Servicing LLC. My mortgage was set up on Auto pay from my bank so I was thinking my loan was being paid. I had no idea that this company bought my loan because I have not received and letters or notices from them to start paying them. So now they are threatening to foreclose if I dont pay {$4800.00}. There is only {$3200.00} owed which I have no Problem paying. The rest is extra interest and late fees they are adding that I dont feel that I should pay because I was never notified until I received this certified letter on XXXX,None,"Fay Servicing, LLC",VA,237XX,None,1,Web,2019-08-26 00:00:00.000000,Closed with explanation,1,1,3353389,-2.2935843
71,2023-01-25 00:00:00.000000,Mortgage,Conventional home mortgage,Struggling to pay mortgage,None,"Wells Fargo approved me for a loan modification on XXXX of 2022 ; I was approved on the phone by one of their representatives. I was making payments towards my loan modification that I was approved for in order to be current on my mortgage. During my loan modification trial, Wells Fargo notified me that they were no longer my lender and that I should contact my new lender. Two weeks later, I receive a notice that my house has an auction date scheduled. The new lender, XXXX XXXX, did not have any information on the loan modification Wells Fargo had approved me for. If I wouldn't have contacted a lawyer at the time that I did, I would be on the street right now. Because of Wells Fargo 's carelessness, I have to file a XXXX  XXXX bankruptcy even after being approved and paying everything on time during my loan modification.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,NV,89110,None,1,Web,2023-01-25 00:00:00.000000,Closed with explanation,1,1,6486662,-1.9359815
72,2021-01-26 00:00:00.000000,Mortgage,Conventional home mortgage,Closing on a mortgage,None,"XXXX XXXX ( Mortgagee ), being duly sworn hereby deposes and says : I am a mortgagee and owner for the property located at XXXX XXXX XXXX XXXX, XXXX XXXX MD XXXX, ( Property ). 
I considered multiple mortgage lenders for the purchase of the Property. 
In late XXXX, I connected with XXXX XXXX, a Chase Mortgage lending advisor, about working with Chase to secure a mortgage for the Property. On XX/XX/XXXX, I agreed to move forward with Chase as the mortgage lender. 
Upon learning that I had received an offer from XXXX, XXXX XXXX offered to match that rate of 2.625 % with 0 points as well as offer an additional 1/8 percent rate discount via relationship pricing. I clearly communicated the need to complete the closing by XX/XX/XXXX, to which XXXX gave us her assurances that this would not be a problem based on the Chase Closing Guarantee. 
On XX/XX/XXXX, XXXX XXXX uploaded the first loan estimate package as agreed. 
On XX/XX/XXXX, my review of loan estimate package revealed multiple errors, including additional points being erroneously noted, no mention of relationship pricing, a higher than agreed to mortgage rate, and a error in the town of the Propertys address. Much of this remained uncorrected for some time despite multiple emails that alerted XXXX to these errors. XXXX assured me that she would fix these errors when the agreement went into underwriting. On XX/XX/XXXX, XXXX congratulated us that we had secured financing. Thereafter, on XX/XX/XXXX, XXXX XXXX, Chase Loan Processor, alerted us to missing information including the sales contract- information that we had clearly provided to XXXX previously by our attorney and Real Estate Agent. Despite this, I resubmitted and provided this information directly to XXXX XXXX on XX/XX/XXXX. With XX/XX/XXXX approaching, and concerns about XXXX errors and unresponsiveness, and valid worries about Chases ability to adhere to the terms of the mortgage and agreed upon deadlines, on XX/XX/XXXX I contacted XXXX XXXX, a Lending Manager at Chase at XXXX XXXX XXXX, XXXX, NY. At this point, the closing date was set for XX/XX/XXXX, and XXXX and XXXX assured us we would close on time. On XX/XX/XXXX, we heard from XXXX that XXXX was working to clear the loan as soon as possible. On XX/XX/XXXX, just one day before the agreed upon closing date, XXXX informed me that the closing may have to take place on XX/XX/XXXX. XX/XX/XXXX came and went, and Chase failed to clear the loan. Despite XXXX informing me that he would extend the rate lock, the closing did not take place on the agreed upon date and he communicated that the closingwould take place by XXXX, XXXX or at latest, XX/XX/XXXX On XX/XX/XXXX I emailed XXXX XXXX, Executive Director at Chase to inform him of the process. While XXXX did not respond right away, XXXX XXXX assured us we would close on Monday, XX/XX/XXXX. On XX/XX/XXXX I still had not received all the documents from Chase, and Lending Manager XXXX XXXX had apparently left the office for vacation. I was able to discuss with XXXX XXXX and we were eventually able to close on Tuesday, XX/XX/XXXX. 
Moving the closing date led the sellers to charge rent for the inconvenience of the delay and their detrimental reliance which put their contingent purchase of another home at risk. We supplied a check to cover this additional and unexpected cost due to Chases inability to close on the agreed upon closing date, despite the Chase Closing Guarantee. 
We were abundantly clear that before ultimately choosing Chase as a mortgage lender, that the closing needed to take place by XX/XX/XXXX. I detrimentally relied on the representations of Chase, its Chase Closing Guarantee, to close by XX/XX/XXXX. I moved large sums of money over to Chase in order to obtain relationship pricing. I incurred fees and missed work due to the unexpected, delayed closing. We relied on Chase standing by their guarantee. 
Lastly, I have reached out 5 times as early as XX/XX/XXXX and as late as XX/XX/XXXX regarding the Chase Closing Guarantee, and the responses have been that is handled by another department. Well let you know. No one has contacted us or let us know and it has been 3 weeks our delayed closing date. 
Our Attorney, XXXX XXXX, from XXXX XXXX XXXX attests to the lack of cooperation and the difficulty that Chase Bank exhibited during the transaction. He witnessed XXXX XXXX unresponsiveness and XXXX XXXX commitment to the adjusted closing date of Monday, XXXX XXXX despite XXXX XXXX promptly taking vacation the week of XX/XX/XXXX. This is concerning as XXXX has stated in an email that he was involved with the loan leading up to the closing and after making the commitment, he goes on vacation without informing the other parties that his involvement was complete.",None,JPMORGAN CHASE & CO.,MD,216XX,None,1,Web,2021-01-26 00:00:00.000000,Closed with explanation,1,1,4094618,-2.6362653
74,2023-01-25 00:00:00.000000,Mortgage,Conventional home mortgage,Struggling to pay mortgage,None,"Hello, I fell behind XXXX payments and tried to make a payment and get assistance from XXXX. Well Fargo would not take a payment from me and foreclosed on me before XXXX XXXX program could provide the assistance I was approved for. As a result my locks were changed and I lost my home.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,GA,30126,None,1,Web,2023-01-25 00:00:00.000000,Closed with explanation,1,1,6487779,-1.5304936
84,2023-02-09 00:00:00.000000,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,None,"Refer to Complaint No. XXXX This Complaint No. XXXX was closed before receiving my response. I am submitting another Complaint in continuation of the fraudulent home loan modification practices by Wells Fargo In their letter dated XX/XX/XXXX, in response to this Complaint No. XXXX, Wells Fargo gave incorrect information : The loan modification was initiated in XX/XX/XXXX NOT XX/XX/XXXX as they wrote in their reply dated XX/XX/XXXX Wells Fargo was advised in XX/XX/XXXX that I was represented by XXXX, XXXX and XXXX, XXXX XXXXXXXX XXXX attorneys All communication was to have been sent through my attorneys of record, XXXX No approval letter for XXXX  was received by either XXXX, my attorneys, nor was it received by me. It should have been sent directly to my attorneys, XXXX. The letter they attached was from their file and was not sent to me. 
I requested a copy of the conversations that were recorded by Wells Fargo relative to my Complaint XXXX. The conversations recorded only had to do with my information and no proprietary information was shared. 
I requested the write-off ( satisfaction of my mortgage ) because of the constant delays in making a decision on the loan modification by the lender and lenders counsel ( s ) AND failure of lender and lenders counsel to notify me via my attorney of my approval of a XXXX  loan . 
When the final loan modification paperwork was provided, my mortgage was increased to {$140000.00} ( from {$100000.00} ) and the loan was increased from XXXX  years to XXXX years. 

In replying to this Complaint No. XXXX, Wells Fargo asked for XXXX ( XXXX ) consecutive extensions. With their final extension, Wells Fargo advised they would be unable to write-off the mortgage or reduce the amount of the mortgage because they SOLD my mortgage. The sale of my mortgage was during the periods of extension requested by Wells Fargo. 


TO REITERATE, following is a timeline of my loan modification with Wells Fargo ( NOTE : My attorney was XXXX, XXXX and XXXX, "" XXXX '' ) : XX/XX/XXXX documents uploaded to XXXX and XXXX. XXXX XX/XX/XXXX Additional documents requested from XXXX XX/XX/XXXX Additional documents uploaded to XXXX XX/XX/XXXX 3rd party authorization form sent to me by Wells Fargo that I signed and sent to XXXX XX/XX/XXXX Uploaded bank statements from XX/XX/XXXX and XX/XX/XXXX and salary statements from XX/XX/XXXX and XX/XX/XXXX other documents uploaded in XX/XX/XXXX XX/XX/XXXX Documents still pending XX/XX/XXXX new hardship letter question on mediation approval XX/XX/XXXX question if the mediation request hearing on XX/XX/XXXX chances of it being approved XX/XX/XXXX documents uploaded to XXXX XX/XX/XXXX documents submitted XX/XX/XXXX notice that XXXX  will not receive documents that are altered or not submitted completely XX/XX/XXXX Reminder of Mediation on XX/XX/XXXX XXXX XXXXXXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXXXXXX physical attendance is required XX/XX/XXXX Mediation in XXXX XX/XX/XXXX Email to XXXX regarding a new mediation since XXXX  DID NOT participate/show-up on XX/XX/XXXX. 

XX/XX/XXXX Email from XXXX no update on a new mediation date. 

XX/XX/XXXX Email from XXXX they are sending a request regarding the rescheduling of mediation. 

XX/XX/XXXX Email from XXXX regarding XXXX rescheduled the mediation meeting XX/XX/XXXX XXXX confirmed receipt of loan modification package email XX/XX/XXXX XX/XX/XXXX Email from XXXX trying to reschedule a mediation so that I do not have to pay a fee. 

XX/XX/XXXX Email to XXXX regarding Mediation scheduled for XX/XX/XXXX acknowledging the meeting will be in XXXX rather than in XXXX XXXX. Uploaded XXXX  documents. 

XX/XX/XXXX Documents for mediation submitted to XXXX. 

XX/XX/XXXX XXXX XXXX will be my mediation attorney for XX/XX/XXXX XX/XX/XXXX Email from XXXX that XXXX XXXX will represent me on XX/XX/XXXX Mediation XX/XX/XXXX Email from XXXX XXXX XXXX requesting a new form to be completed Form XXXX and additional documents including an updated hardship letter regarding the car accident from XX/XX/XXXX XX/XX/XXXX XXXX attorney requested a XXXX form XX/XX/XXXX Email from me to XXXX regarding questions on amortization schedule for the new loan never received XXXX during mediation on XX/XX/XXXX, the XXXX rep on phone listed the current loan balance and added the past-due payments but that was inaccurate - the loan balance would include the mortgage payments not paid. Question on when will the modification of the loan amount be discussed because of the diminished value of the property due to the sinkhole and lightning damage. 

XX/XX/XXXX Email from XXXX regarding questions on mediation/mortgage amortization XX/XX/XXXX Email to XXXX asking for information from XXXX on Mediation/amortization schedule from XXXX XX/XX/XXXX Documents to XXXX for XXXX XX/XX/XXXX Email from XXXX XXXX that documents were received XX/XX/XXXX Email from XXXX XXXX to XXXX XXXX to schedule a meeting with me in XXXX XX/XX/XXXX Email from XXXX that documents were forwarded to XXXX still have not received a breakdown of the figures from the lenders attorney XX/XX/XXXX Email to XXXX XXXX thanking her for meeting on XX/XX/XXXX regarding discussion of sinkhole repair XX/XX/XXXX Email from XXXX documents submitted to lender and re-requested the reinstatement figures from the lenders attorney . This will provide a breakdown of the figures discussed at mediation. 

XX/XX/XXXX Email from XXXX XXXX that XXXX notified us that counsel has changed and is filing answers to our discover requests XX/XX/XXXX Email from XXXX XXXX sent a request for the payoff and reinstatement also a request for status of the review for which we received a response from opposing on XX/XX/XXXX that they are pending response from their client. 

XX/XX/XXXX Email from me to XXXX had been requesting a breakdown of the amount XXXX presented at Mediation on XX/XX/XXXX but have not received. 

XX/XX/XXXX Email from XXXX XXXX sent another request to the lender on the status of our request and it was also sent from the litigation attorney, XXXX XXXX , trying to get the same information. 

XX/XX/XXXX Email from XXXX with attachments showing the requests for reinstatement figures they requested from XXXX received correspondence from opposing on XX/XX/XXXX that they are still following up with their client she sent a follow-up again on XX/XX/XXXX. XXXX received notice that I was approved for a modification on XX/XX/XXXX and XXXX requested a copy of the agreement as the first payment was past due on this date, XX/XX/XXXX XXXX had been seeking status for months on end without a response to date only to find out well into the trial plan that there had been an offer on the table. XXXX was waiting on the agreement and payment arrangement to forward to me. 

XX/XX/XXXX Email from me to XXXX advising that I had not received any documentation, phone calls or any contact from XXXX or their representatives XX/XX/XXXX Email from me to XXXX had they received any information from XXXX XX/XX/XXXX Email from XXXX he reached out to the lender again and will let me know what he finds out XX/XX/XXXX Email from me to XXXX following up since I had not received any information from XXXX regarding modification or any info from XXXX XX/XX/XXXX Email from XXXX with thread of request to opposing counsel XXXX for info on XXXX that had not been received XX/XX/XXXX Email from XXXX to new opposing counsel XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX 

XX/XX/XXXX Email from me to XXXX requesting XXXX update XX/XX/XXXX Email from XXXX no information received he will email the managing partner of opposing counsel that day XX/XX/XXXX Email from XXXX to XXXX regarding no response to request of information XX/XX/XXXX Email from XXXX regarding drafted motion no one will respond . 

XX/XX/XXXX Email from XXXX with internal notes on my file for review XX/XX/XXXX Email from XXXX that she had not received a response XX/XX/XXXX Email from me to XXXX requesting any information on my case XX/XX/XXXX Email from XXXX  they are pending a response from opposing counsel XX/XX/XXXX Email from me to XXXX XXXX regarding email from XXXX on XX/XX/XXXX XXXX XXXX a case management XXXX that was held on XX/XX/XXXX stated that XXXX and lenders attorney agreed to a Motion for Mediation that was granted by the Judge. There will be a Case Management Conference XX/XX/XXXX questions on Motion to Compel Answers to Request to Produce. 

XX/XX/XXXX Email to XXXX with requested financial documents for XXXX XX/XX/XXXX Email from XXXX regarding results of the Case Management Conference on XX/XX/XXXX Judge set a hearing for XX/XX/XXXX @ XXXXXXXX XXXXXXXX on the Motion to Compel Better Responses to our Request to Produce the Plantiffs responses were inadequate they did not provide XXXX  with the requested documents XX/XX/XXXX Email from me to XXXX requesting an update on my case XX/XX/XXXX Email from XXXX ( Mitigator ) that they are still in the process of gathering status on the review and should have a response shortly. Requested for my review to be escalated for a decision XX/XX/XXXX Email from XXXX XXXX XXXX canceled by the Judge and rescheduled for XX/XX/XXXX at XXXXXXXX XXXX to hear Motion to Compel Better Answers to Request to Produce . XXXX will contact me after the hearing to discuss the results XX/XX/XXXX Email from XXXX that Judge granted portion of the Motion to Compel and Plaintiff has XXXX  days to comply with the judges instructions and court order XX/XX/XXXX Email from XXXX saying Plaintiff has not been forthcoming in providing information we asked for that is why they file these motions to compel and have the Judge order them to do so XX/XX/XXXX Email from XXXX have not received a response even after they escalated the response on XX/XX/XXXX and did not receive a decision from that escalation. She will be contacting opposing counsel that day to request a conciliatory conference if they can not issue a decision by the end of the week. 

XX/XX/XXXX Email from XXXX lender requesting financial information and Documentation once again to proceed with the loan modification review XX/XX/XXXX Email from XXXX reviewed documents just needed a signature on letter of explanation for unreimbursed expenses XX/XX/XXXX Email from me to XXXX received XXXX notices from Court today an Order and the Certificate of mailing were signed on XXXX, however, I did not receive them until XX/XX/XXXX XX/XX/XXXX Email from XXXX that the attachments were received and sent to my paralegalXXXX XX/XX/XXXX Email from XXXX explaining that Plaintiff provided the rest of the documents , the Case Management Conference will be held over the phone and they are set by the Judge the Judge may set a future trial date since the XXXX  Supreme Court has been pushing the Judges very hard to get all these foreclosure cases wrapped up as there is a huge back log of them will advise me of the results from the hearing on the XXXX XX/XX/XXXX Email from me to XXXX stating I never received the notice of acceleration and was surprised when I was served for foreclosure asked what was their proof of delivery or was it just a letter that was in their file. Has XXXX received any feedback regarding the status of the Loan Modification. 

XX/XX/XXXX Email from XXXX explaining the Case Management Conference, if the Court schedules this case for trial they are continuing to follow up on the status of the loan modification review but had not received a response from the lender on the additional documents that were sent XX/XX/XXXX hopefully will have an answer on the loan modification between the middle of XXXX to the end of XXXX XX/XX/XXXX Email from XXXX ( Mitigator ) that she had requested a status from my lenders counsel and will inform me as soon as she hears back XX/XX/XXXX Email from me to XXXX sending the documents requested by XXXX in an email to XXXX on XX/XX/XXXX XX/XX/XXXX Email from XXXX spoke with the lenders counsel and my file is in review and nothing additional is being requested XX/XX/XXXX Email from XXXX regarding opposing counsel going back and forth with her client ( XXXX ) and at this time they believe the trial should go forward on foreclosure and discussed cash for keys and extended sale date in XXXX  days XX/XX/XXXX Email from XXXX that lenders counsel has confirmed that my file is still in review XX/XX/XXXX Email from XXXX that I had been approved for a trial modification to begin XXXX XX/XX/XXXX but they had not received the trial modification documentation lenders attorney has filed a motion to continue trial. If she receives an email today with the order continuing trial she will let me know. 

XX/XX/XXXX Email from XXXX that the Judge had granted our Motion to Continue Trial. The Judge has placed the case on inactive status, therefore, the trial is not going forward on XX/XX/XXXX XX/XX/XXXX Email from XXXX that as soon as they receive the modification documents she will let me know the Judge has officially signed the order continuing the trial and administratively closing the case due to the modification offer XX/XX/XXXX Email from me to XXXX asking if they have the loan information so that I will know what amount is due, to whom, and by what date since the payment is due XX/XX/XXXX XX/XX/XXXX Email from me to XXXX checking to see if there is any information on the loan modification XX/XX/XXXX Email from XXXX they had yet to receive the modification documents XX/XX/XXXX Email from me to XXXX the information on this loan still has not been received and since the first payment is due XX/XX/XXXX I asked if XXXX will set-up an escrow account for the proposed loan modification so that a payment can be made so that good faith is exhibited since we do not know what the payment will be I left the amount up to their discretion XX/XX/XXXX Email from XXXX she received word from the lender regarding the trial modification and the first payment due XX/XX/XXXX, will be in the amount of {$1100.00} until XX/XX/XXXX can make payment at the banks branch or call it in on the phone with XXXX on the line. Future payments can be made to XXXX Home Mortgage in XXXX, XXXX  they will not know the terms of the permanent modification until the trial modification is completed. 

XX/XX/XXXX Email from me to XXXX if she had any idea about the numbers on the modification Im kind of flying blind but have no recourse but to pay it and find out what the loan will be after the trial modification XX/XX/XXXX Email from XXXX that he received my voicemail about the payment confirmation XX/XX/XXXX Email from XXXX that lender advised her that if I dont have my approval letter that I may have a hard time making a payment at the branch. The approval letter has been requested but it wont have it in hand before the payment is due. 

XX/XX/XXXX Email from me to XXXX advising that the XXXX payment was made that morning via debit/cash at XXXX in XXXX XXXX and will scan the receipts to her that evening XX/XX/XXXX Email from XXXX that she received a copy of my first TPP payment and will notify me when they get the final paperwork XX/XX/XXXX Email from XXXX attaching a copy of the trial modification documents XX/XX/XXXX Email from XXXX advising that she had contacted lenders counsel to confirm receipt of my first payment but has not gotten a response. She will continue her efforts and will advise me when she hears. 

XX/XX/XXXX Email from me to XXXX advising that I will be making the second  of the XXXX payments this week with a cashiers check at the local Wells Fargo branch so that I can get a receipt XX/XX/XXXX Email from KEL/Bowman that the lenders counsel confirmed that my lender has received both trial payments and continue to make the trial payments until the permanent modification documents are received XX/XX/XXXX Email from me to XXXX that I would be making the XXXX trial payment on XX/XX/XXXX and asked if she has any information from the lenders regarding the permanent modification document XX/XX/XXXX Email from XXXX advising that the permanent modification review begins after I make my last trial payment. She will follow-up a couple of weeks after I make the XXXX payment. 

XX/XX/XXXX Email from me to XXXX with documentation of XX/XX/XXXX TPP payment made on XX/XX/XXXX XX/XX/XXXX Email from me to XXXX to see if the mortgage paperwork has been received now that the XXXX TPP payments have been made XX/XX/XXXX XXXX from XXXX that she has reached out to the opposing council to follow-up on the final documents and will contact me when she hears back from them XX/XX/XXXX Email from XXXX that lender needs to have documentation as to if the name will be XXXX or XXXX XX/XX/XXXX Email from me to XXXX sending divorce decree showing my name change back to XXXX but I could use either name either XXXX or XXXX thats why it is hyphenated XX/XX/XXXX Email from XXXX responding to my email this day that the file is still in review and had reached out to them on XXXX to get an update on the loan modification but has not heard back XX/XX/XXXX Email from XXXX explaining that she will handle the mitigation on my file and will be the middle man between me and the lender that the review process is when the lender is actively reviewing my file. At times they may ask for additional documents/information which to continue their review process she will let me know. XXXX XXXX will handle the litigation side of my file/courts and the foreclosure side and XXXX handles the loan modification side. 

XX/XX/XXXX Email from XXXX confirming that my loan modification was approved XXXX  months ago but they are still pending the final modification which is the Permanent Modification XX/XX/XXXX Email from me to XXXX that I would be making the XX/XX/XXXX TPP payment to XXXX that day and will scan the receipt to her XX/XX/XXXX Email from XXXX that she will continue to follow-up with XXXX as to the status of the permanent modification documents and for me to continue making the TPP payments in the meantime XX/XX/XXXX Email from XXXX advising that they are still working on getting the status of the permanent modification status the lenders attorney stated they are working on getting a status from their client she will advise when she has more information XX/XX/XXXX Email from XXXX that the lenders attorney is working on the permanent modification documents XX/XX/XXXX Email from me to XXXX is there a date or timeline for signing the loan modification that was presented to me XX/XX/XXXX Email from XXXX to send in the documents right way and also scan a copy of the signed and notarized XX/XX/XXXX Email from XXXX that the signed documents look great and have forwarded a copy to the lenders attorney and advising them I will be sending the originals. She will be following up with the lenders attorney to make sure that everything is completed properly and the loan is permanently modified XX/XX/XXXX Email from me to XXXX that I sent the executed/notarized permanent loan modification paperwork to the address on XXXX XXXX sent via XXXX mail on XX/XX/XXXX. I advised that I would make my loan payment today based on the amount stated on the permanent loan modification even though I have not received in-hand the final executed documents from Wells Fargo XX/XX/XXXX Email from XXXX advising that Plaintiff has voluntarily dismissed the foreclosure and she will follow up with opposing counsel to ensure the modification has been logged and the account is reflecting as current XX/XX/XXXX Email from me to XXXX with a scan of my XX/XX/XXXX payment to XXXX.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,FL,34608,Older American,1,Web,2023-02-09 00:00:00.000000,Closed with explanation,1,1,6551890,-1.734073
86,2023-01-25 00:00:00.000000,Mortgage,Conventional home mortgage,Trouble during payment process,None,"Hi, The United Wholesale Mortgage escrow ( UWM ) calculated the wrong property tax amount. They collected double what they should collect, which led to my mortgage payment increased more than a XXXX a month. On the hand, I found out UWM didn't pay my property tax because XXXX XXXX tax collector sent me a bill with a penalty. I had to pay using my own money, which led to short money in the bank. I contacted UWM and told them I had just paid the XXXX XXXX dollars in property tax and didn't have enough money to payment+increased escrow, and I asked them to use escrow money to pay my mortgage payment ( extra XXXX XXXX in escrow ) ; they denied it and charged a late fee, and report delinquency to the bureau. 

XXXX XXXX : {$9300.00} UMW XXXX XXXX : {$15000.00} I don't trust UWM escrow anymore, and I asked UWM to terminate the escrow. They also denied it again due to a delinquency event which caused by UWM. 

Thanks to UWM, I had to pay the late fee, and it ruined my credit.",None,"United Shore Financial Services, LLC",CA,92844,None,1,Web,2023-01-25 00:00:00.000000,Closed with explanation,1,1,6478761,-2.1274507
98,2023-01-18 00:00:00.000000,Mortgage,VA mortgage,Struggling to pay mortgage,None,"Greetings My husband and I made a payment for our Mortgage to XXXX before the year of 2010. As it was made to our attention, the mortgage company claimed that they never received the payment, but they did receive it! Using a US POSTAL MONEY ORDER for almost & XXXX, an employee I intercepted the payment for their PERSONAL USE! It was traced and came back with a signature on the back and the date! XXXX, denied the claims and continued to charge us for the payment not being received after we repeatedly made contact with them on the incident! This in turn caused my husband and I to file for protection against foreclosure of our home, using the XXXX XXXXXXXX bankruptcy protection! We have received no compensation from XXXX but since then we have moved on from this company and we are in another home. This was the only way to get out of the terms of this condition and we have NEVER RECEIVED ANY COMPENSATION FOR THIS MATTER, AND NOT EVEN A SIMPLE APOLOGY!",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,GA,30809,Servicemember,1,Web,2023-01-25 00:00:00.000000,Closed with explanation,1,1,6454840,-2.7574806
