,Date received,Product,Sub-product,Issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,TF-IDF scores,top_word
12,2019-10-11,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,"I applied for a refinance with Quicken loans in mid . I was told the terms would be 3.99 % {$100000.00} loan with 2.125 % points, with those terms, I agreed to put a "" good faith deposit '' down of {$500.00} ( no one from Quicken told me that they could change the rates and terms after I put the deposit down ). Our appraisal came back at {$140000.00} and all of the sudden all rates and terms changed. ( I went to   Mortgages and once again had an appraisal done 1 week later and it was {$160000.00}, {$37000.00} more! ). Anyway, Quicken changed my rates and terms no less than 5 times, even changing terms 2 times in one day! I thought good faith meant good faith by both parties. Their actions were not fair and entirely too confusing. Even my loan officer said she did not know what was going on. Of course, I no longer felt comfortable letting this company deal with my mortgage so I went to Ruoff and closed within a few weeks with no issues, but I am now out {$500.00} with Quicken and they refuse to return it. During this process, we also received calls from several different people from Quicken after we told them that we no longer wanted to work with them and some were even threatening, saying since we already applied with them, no other company would take us and we should just go with them. I don't think it is fair that I signed the "" good faith deposit '' saying I liked the terms and wanted to proceed, yet they did not show "" good faith '' back by changing terms over 5 times for no apparent reason. I think I should get my deposit back, as I did what I was suppose to do, they were the ones who did not. If this is allowed to continue, they could tell customers a false great rate and terms, take their money, then change terms and customers either have to accept the new terms or lose their money, it is not fair.",,"Rocket Mortgage, LLC",IN,46041,,True,Web,2019-10-11,Closed with explanation,True,True,3402371,[0. 0. 0. ... 0. 0. 0.],"['quicken', 'faith', 'deposit']"
13,2022-12-20,Mortgage,FHA mortgage,Trouble during payment process,A payment of {$4100.00} was sent to the payment processing center in  NJ it is Showing received & cashed. The  Assistance   id trying to track down these payments because  refuses to contact their payment center to see why these payments arent applied to my account or sent to the new servicer This Check was sent back in //2022 its now going on !,,PARAMOUNT RESIDENTIAL MORTGAGE GROUP,FL,33612,,True,Web,2022-12-20,Closed with explanation,True,True,6342828,[0. 0. 0. ... 0. 0. 0.],"['center', 'payment', 'sent']"
17,2022-11-08,Mortgage,Home equity loan or line of credit (HELOC),Trouble during payment process,"Mr. Cooper        T         , HUD FROM    TO MR COOPER This is the beginning paragraph of this letter describing hardship the  family and tenants endured over 5 years as well as hardship Mr. Cooper did in negligence, fraud in loan procedures monthly payments, falsifying and holding up paperwork for COVID relief, falsely demanding monthly payments without allowing fresh starts of monthly payment. This is abundantly on top of the hardship experienced and is repeated for me. Cooper requesting a hardship letter already issued in the complaint process Read below of death by COVID ... tenant sick    after dad died. Then on top of that Mr. Cooper causing more hardship with this situation. 


This letter is regarding Mr Cooper mortgage company 's behavior and actions over the phone over the last   years out of Texas        Texas  and wherever their call centers are located that we do not know of. 


When we call we talked to  different people over a period of   months or longer and we never are given the same information. We call in to make a monthly payment and it is a hassle. We talked to a phone tree for  minutes and finally get to speak to a representative to make the payment it always takes too long and the representative is unfriendly to help us process the payment. When calling in or receiving letters we were never given accurate balances per month and we were charged finance charges and late fees and other fees for miscommunication between Mr Cooper and us which never should have taken place because it should be easy to make a payment per month and given a balance. This was held back purposely by the way you train your call centers to charge these fees. This paragraph is about  and   before moving to senior housing living dealing with Mr Cooper from    and how up to this date it has wrecked credit scores for  and  . 


This paragraph is about tenants trying to make payments who are the son of  &   and the  who is       of   whom is  of    . During  and     , who is   of   who is the   of  and   and are the   of     for     of the   at     The situation in all parties trying to make payments and giving permission to make payments we're trying to make payments every month calling in and they were hassled and given permission to make the payments by a letter of declaration that was also a hassle. When   and   tried to call in to make payments the same problem with  minutes of a phone tree to get to a representative and the representative was not helpful to take the payment and whenever the confusion of making these payments there were late fees that were unknown.. there were extra charges unknown added to the loan without communication by Mr Cooper to give a proper balance per month.  a  r died in  of covid and we were offered by Mr Cooper covid relief filling out forms every 3 months. We know that Mr Cooper accepted government money of the covid relief program to disperse. We were given empty promises that this covid relief would either replace the payments or do a forbearance to hold off on monthly payments. Then in  of  and       and   tenant of    had   and the forms were still being filled out every   months. Then in    tenant of    had   again in  and  of  and these forms were still being filled out by  and  . This exasperating process was supposed to at least get forbearance or at the very best pay the payments but then Mr Cooper came back and said none of this worked none of this was going to hold off the payments and we were surprised with {$18000.00} of catching up with the loan and before that in between of filling out the paperwork we were told that we had to make payments and we kept filling out the paperwork in hopes to just start fresh with the {$700.00} per month payment but they before that said oh it's {$3000.00} or {$4000.00} to catch up on. Payment per month. So we kept filling out the paperwork and hopes that this covid relief would take place or forbearance could start us fresh at  $ per month agreement and it never did. 


Now Mr Cooper has done a foreclosure for // and we are going to do whatever we can to do an injunction to stop foreclosure and by law of Missouri do a loan modification and have an agency  and HUD and   help us speak with Mr Cooper. There will be no more phone calls because Mr Cooper can not be trusted over the phone. All communication and information will all be in writing for now on and Mr Cooper must respond by law and by law of Missouri in a loan modification. Missouri law states that no foreclosure can take place in a loan modification. We need the agency of  and HUD and the     to intervene with this process because Mr Cooper can not be trusted over the phone as we've tried this for years. I,  , am living at     so loan modification by    must be accomplished with Mr. Cooper allowing loan modification by   . 


And if necessary after we figure all this out with loan modification and stopping foreclosure and trying to get out from under Mr Cooper and   using his finances to buy the loan out we want to look into suing Mr Cooper for all the harassment, all the lies, all the problems over the phone that have happened for years and they have these recordings but most likely they will loose these recordings that are in their system of all these phone calls. 

Never should it end up this way especially after Mr Cooper received COVID relief from us government.. 

  ",,NATIONSTAR MORTGAGE LLC,MO,63111,Older American,True,Web,2022-11-08,Closed with explanation,True,True,6179970,[0. 0. 0. ... 0. 0. 0.],"['cooper', 'covid', 'relief']"
18,2020-12-11,Mortgage,Conventional home mortgage,Trouble during payment process,"I have attempted three times to request an escrow analysis from Amerisave. Every time I get a different answer. My total expenses for property tax and homeowner insurance is {$6900.00} and they are collecting {$950.00} each month totaling {$11000.00} annually. My current escrow has a balance of {$5200.00}. This means by the end of // my escrow balance will be {$9600.00}. 03. I have called the following times : //    //     //    Every time I get a different answer stating they will complete an analysis until today // when I spoke to  who states I have to call back // to request the analysis. 

I need to find out what my legal recourse is to solve this issue.",Company believes the complaint is the result of a misunderstanding,AMERISAVE MORTGAGE CORPORATION,CA,92115,,True,Web,2020-12-12,Closed with explanation,True,True,4006136,[0. 0. 0. ... 0. 0. 0.],"['analysis', 'escrow', 'answer']"
20,2017-12-06,Mortgage,FHA mortgage,Struggling to pay mortgage,"Citimortgage was handling my deed in lieu and everything was done they even had an attorney  send me the legal documents to sign.  emailed me the documents on //. We signed and returned the documents to  overnight on // which they received on //. 

Citimortgage (   and   ) told me that my loan would be assigned to another mortgage company on  so I needed to get the documents signed and returned to the attorney 's office before //. 

Although my documents were signed and returned to the attorney 's office on // at . I received an email from   at  this morning stating "" I was advised that the file has been service transferred. '' I spoke with the new servicer this morning and was told that the loan was not transferred until // so I do not understand why  did not complete the legal documents and complete the deed in lieu.  and Citimortgage are just  me around. 

As you will see from my previously submitted complaints that Citimortgage has never done their job. Why would they transfer my loan when the deed in lieu was basically completed. 

Also when they transferred my loan, per my conversation with    d/b/a  , Citimortgage did not even tell them about my deed in lieu or send them any of the information as to the status of my deed in lieu which I stated above was basically completed. 

Citimortgage is a horrible horrible company who I feel have fraudulently  me and my family from the beginning and you ( cfpb ) have allowed them to continue to  us around. They have allowed this process to go horribly wrong from the very beginning by not doing their job and I advised your agency of this with all of my documentation. 

You chose to not even read my documentation. Just forward a letter to them and let them respond and then you were done. When I tried to respond I was unable to. 

I need this deed in lieu completed as soon as possible.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",NC,28081,,True,Web,2017-12-06,Closed with explanation,True,True,2748164,[0. 0. 0. ... 0. 0. 0.],"['lieu', 'deed', 'returned']"
21,2021-12-09,Mortgage,Reverse mortgage,Closing on a mortgage,"// reverse mortgage solution purchased a regular loan from a company now call  . For the amount of {$18000.00}. My mother was unaware that this new company was a reverse mortgage loan she made payments from // to //. 
She died in  Reverse mortgage has denied they receive payments from her but the bankruptcy judge made them submit fraudulent payment history. I have asked RMS to simply show us the deposit slip or some sort of transaction where they put in  to her account they never did. I contact the IRS for her her W-2 forms from  to  there was never any installments in her account and never in a large amount of money deposited. 
RMS foreclosed submitted some sort of unverified paperwork and now have their name on her home. They have tried to evict me over seven times I went to court eviction court today. The judge refused to understand that this was a case of title not eviction we now have five days to either pay {$2200.00} to get an appeal or vacate my mothers home after 50 years. I would prefer to fax these papers to you tomorrow but in five days I will be put out of a home. 
my mother repaid a loan they denied that payment but we have proof from A company called   provided me with the closing cost of {$18000.00} in . Please help us as soon as possible.",Company believes it acted appropriately as authorized by contract or law,Ocwen Financial Corporation,TX,78220,,True,Web,2021-12-30,Closed with explanation,True,True,4990597,[0. 0. 0. ... 0. 0. 0.],"['reverse', 'eviction', 'judge']"
22,2017-06-16,Mortgage,FHA mortgage,Struggling to pay mortgage,"I went through  and they refer me to the    to see if they can help us save our home. First   from    said that he can not help us when i explain to him the problem i have with my mortgage. Then he call me back and said that he will try and if it does not work he would refund my first payment of {$1900.00} a mont later i got a email that my claim was denied by my bank [ Chase ] try to contact    but no respond, now my bank wants me to pay and i am short the {$1900.00} plus another month is added on to what We owed for our mortgage which is {$13000.00} and we only have {$10000.00} and Chase our bank do not want to accept partial payment.",,JPMORGAN CHASE & CO.,GA,30294,,True,Web,2017-06-16,Closed with explanation,True,True,2547616,[0. 0. 0. ... 0. 0. 0.],"['chase', 'bank', 'refer']"
24,2018-01-23,Mortgage,Conventional home mortgage,Struggling to pay mortgage,"I am trying to save my home from foreclosure by applying for mortgage assistance and a loan modification. I sent my package on // and was told it had been deemed complete and advanced to underwriting on // with a foreclosure hold placed on //. I was also told at this time that they are legally required to complete their review within 30 days. So I entirely expected to have this done and know whether I can save my home by // or // at the latest. Naturally I am concerned that the process has been delayed over a week past the legal deadline. But that is not why I am filing a complaint. I am specifically filing my complain against  , the asset manager. I could understand why they might be a little bit behind, but   is being deliberately non-communicative regarding the status of my modification. All I want is information -- a simple explanation of why my file is delayed and what I can do if anything in order to move my file from point A to point B. Instead I am getting ignored and even hung-up when I try to speak with him. This is not only unprofessional, it 's unethical. They are breaking the law by stalling the disclosure of my decision and I am entitled to know why, and they are doing this with utter disregard as to how this jeopardizes my home and livelihood.",Company believes it acted appropriately as authorized by contract or law,"Servis One, Inc., Titusville, PA Branch",FL,33406,,True,Web,2018-01-23,Closed with explanation,True,True,2791568,[0. 0. 0. ... 0. 0. 0.],"['save', 'filing', 'complete']"
25,2017-12-06,Mortgage,Conventional home mortgage,Trouble during payment process,"In //, I was unable to pay my mortgage through Loancare for that month. I made an agreement with them to pay the // payment over a 4 month period on top of my regular payment of {$800.00} a month. So for the next 4 months I paid {$800.00} plus the {$200.00} for // being over {$1000.00} on a monthly basis for the next 4 months. During those 4 months it was showing that I was late on my payment every month summing it up to {$50.00} in late fees. When I finished with the payment plan I called Loancare and inquired about this late fee that was accrued while I was on a payment plan. The customer service representative looked into account and confirmed I was on a payment plan and waived the fees. 
I still do n't understand why my credit report still is showing late payment when payments were made on time while I was on the payment plan from//-//. Can you please assist me in updating my credibility by removing late payments during those months on my credit report? It is hurting my score. 

Thank You",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"LoanCare, LLC",NY,12180,,True,Web,2017-12-06,Closed with explanation,True,True,2748038,[0. 0. 0. ... 0. 0. 0.],"['payment', 'plan', 'late']"
26,2021-02-08,Mortgage,Conventional home mortgage,Trouble during payment process,"My Amerisave loan account has been erroneously transferred to the Amerisave Bankruptcy Department. I am not in bankruptcy nor have I ever filed for bankruptcy. My mortgage payments to Amerisave have never been late. On several occasion I have respectfully requested that my loan account be removed from the Amerisave Bankruptcy Department and place back in good standing. Amerisave reported my account to the credit agencies causing my credit score to drop over 250 points. 
I have spoken with , ,  and several others from the Bankruptcy Department and they were unable to restore my account to good standing, nor could they offer any explanation to justify this error. 
My mortgage statement dated // indicates that on // I was charged {$350.00} for Foreclosure Attorney Fees. I AM NOT IN FORECLOSURE OR BANKRUPTCY! 
Please keep in mind that I am never late for a payment and I always pay about {$650.00} extra to be applied to my principal. 
Please Help",Company believes the complaint provided an opportunity to answer consumer's questions,AMERISAVE MORTGAGE CORPORATION,MI,48221,Servicemember,True,Web,2021-02-08,Closed with explanation,True,True,4125563,[0. 0. 0. ... 0. 0. 0.],"['bankruptcy', 'department', 'standing']"
27,2017-11-09,Mortgage,FHA mortgage,Struggling to pay mortgage,"I Have Tried At Least 10 Times To Apply For A Loan Modification : The Company Ocwen LLC Servicing Has Been Giving Me The Run Around, By Telling Me The Application Was Incomplete, And Ask For Additional Information, As I See The Information, They Say I Need Something Else. They Did This Until They Won The Sale Date With The Judge. I Have Certified Mail On Me Sending The The Applications For About A Year Or Longer.",,Ocwen Financial Corporation,FL,33054,,True,Web,2017-11-09,Closed with explanation,True,True,2725108,[0. 0. 0. ... 0. 0. 0.],"['information', 'incomplete', 'judge']"
28,2022-01-30,Mortgage,Conventional home mortgage,Trouble during payment process,I have been unable to access the online portal for months now and the app is also barely functional to make payments. I have no access to online statements or loan info.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"LAKEVIEW LOAN SERVICING, LLC",AZ,85743,,True,Web,2022-01-30,Closed with explanation,True,True,5164317,[0. 0. 0. ... 0. 0. 0.],"['access', 'barely', 'portal']"
31,2019-02-26,Mortgage,Conventional home mortgage,Trouble during payment process,"Back in // I was behind on my mortgage payment, I had a true hardship The amount owed as of my statement dated on // was for . I went to a HUD approved agency I met with a housing counselor and they were able to assist me with reinstatement funds, the agency send a payment to Citi mortgage on // for the amount of . On // the check was returned back to the agency, they stated that they did not know what account to post the check to, the check was sent back // and the check had the loan number circled, //  received notice from the foreclosure law firm that the loan was in foreclosure. and she was sent a reinstatement figure of  with a due date of //,  was able to pay the amount on  to stop the foreclosure, the agency never received the money hat they had sent of . I called Citi and they stated that the check was received after // and that was the date that the foreclosure was filed. Called today and they can not tell me if the monies was posted on to my account",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",PA,19149,,True,Web,2019-02-26,Closed with explanation,True,True,3163353,[0. 0. 0. ... 0. 0. 0.],"['agency', 'check', 'reinstatement']"
